시/도,지역구,지역구코드,행정동,행정동코드,선거인수,투표수,더불어민주당 문재인,자유한국당 홍준표,국민의당 안철수,바른정당 유승민,정의당 심상정,새누리당 조원진,경제애국당 오영국,국민대통합당 장성민,늘푸른한국당 이재오,민중연합당 김선동,한국국민당 이경희,홍익당 윤홍식,무소속 김민찬,계,무효투표수,기권수
서울,강서구병,2411,염창동,1150051000,28483,24012,11169,4192,5139,1900,1492,34,2,7,5,9,1,5,7,23962,50,4471
서울,강서구병,2411,등촌제1동,1150052000,17544,13881,6203,2568,2810,1174,1059,15,1,5,2,3,0,2,1,13843,38,3663
서울,강서구병,2411,등촌제2동,1150053000,16791,13357,5526,2894,2965,1028,841,22,0,11,1,9,3,5,13,13318,39,3434
서울,강서구병,2411,화곡제4동,1150057000,17922,12869,5513,2732,3035,674,809,19,1,12,2,9,4,4,5,12819,50,5053
서울,강서구병,2411,화곡본동,1150059000,26429,18912,8784,3305,4263,1133,1280,31,2,10,0,16,3,4,14,18845,67,7517
서울,강서구병,2411,화곡제6동,1150059100,20341,15602,6591,3356,3503,1031,990,30,1,8,4,6,0,5,13,15538,64,4739
서울,강서구병,2411,가양제3동,1150060500,14139,11040,4705,2429,2482,711,619,18,1,3,2,13,2,5,9,10999,41,3099
서울,관악구을,2412,신사동,1162068500,18537,13438,6123,2502,2991,827,893,14,1,8,3,5,1,7,9,13384,54,5099
서울,관악구을,2412,조원동,1162072500,14422,10615,4606,2113,2416,691,711,19,0,6,4,9,2,1,7,10585,30,3807
서울,관악구을,2412,미성동,1162076500,25512,19370,7925,4263,4734,1157,1128,41,0,16,5,15,8,7,13,19312,58,6142
서울,관악구을,2412,난곡동,1162077500,23080,16593,6816,3388,4252,992,971,30,4,14,8,19,10,8,7,16519,74,6487
서울,관악구을,2412,난향동,1162071500,12470,9712,4212,1899,2278,652,604,18,1,5,4,10,2,2,5,9692,20,2758
서울,관악구을,2412,서원동,1162064500,18555,13736,6312,2360,3021,902,1039,16,1,9,3,15,3,4,11,13696,40,4819
서울,관악구을,2412,신원동,1162065500,15396,11353,5001,2160,2572,720,804,21,2,12,1,11,3,2,6,11315,38,4043
서울,관악구을,2412,서림동,1162066500,18782,13918,6141,2471,3171,985,1018,35,3,8,4,15,2,1,6,13860,58,4864
서울,관악구을,2412,삼성동,1162074500,21698,16481,6790,3446,4210,1003,877,28,5,17,2,21,2,7,11,16419,62,5217
서울,관악구을,2412,대학동,1162073500,19457,14662,6720,2407,3073,1138,1183,33,2,5,3,19,2,8,6,14599,63,4795
서울,구로구갑,2413,고척제1동,1153072000,19318,15272,6138,3531,3541,985,944,19,2,13,1,8,4,8,8,15202,70,4046
서울,구로구갑,2413,고척제2동,1153073000,22027,16756,6768,3813,3935,1060,1038,18,1,11,1,9,2,8,8,16672,84,5271
서울,구로구갑,2413,개봉제1동,1153074000,26613,19995,7954,4881,4690,1149,1151,18,5,8,5,14,6,5,16,19902,93,6618
서울,구로구갑,2413,개봉제2동,1153075000,26474,21350,9087,4801,4804,1271,1233,42,2,8,4,2,1,2,12,21269,81,5124
서울,구로구갑,2413,개봉제3동,1153076000,16682,12632,5301,2717,3084,700,729,13,1,3,3,1,2,9,12,12575,57,4050
서울,구로구갑,2413,오류제1동,1153077000,17445,13521,5383,3571,2787,770,897,24,1,5,1,5,2,4,13,13463,58,3924
서울,구로구갑,2413,오류제2동,1153078000,31509,25023,10565,5957,5400,1358,1548,30,3,13,5,14,5,13,18,24929,94,6486
서울,구로구갑,2413,수궁동,1153079000,19302,15228,5712,4734,2960,832,872,26,4,7,2,7,2,5,10,15173,55,4074
서울,서대문구갑,2414,충현동,1141056500,13418,9415,3923,2159,2107,613,544,24,0,5,0,6,1,3,4,9389,26,4003
서울,서대문구갑,2414,천연동,1141052000,14496,11498,5084,2419,2402,791,728,14,2,4,2,7,2,1,8,11464,34,2998
서울,서대문구갑,2414,북아현동,1141055500,12244,9563,4271,1810,2057,721,645,11,1,2,3,2,0,3,6,9532,31,2681
서울,서대문구갑,2414,신촌동,1141058500,13417,9816,4407,1704,1796,945,898,13,1,3,1,3,0,2,7,9780,36,3601
서울,서대문구갑,2414,연희동,1141061500,28217,21133,8928,4590,4287,1515,1672,33,0,9,6,4,2,5,10,21061,72,7084
서울,서대문구갑,2414,홍제제1동,1141062000,17977,13837,5967,2889,3066,920,899,17,5,9,7,9,2,4,8,13802,35,4140
서울,서대문구갑,2414,홍제제2동,1141065500,12225,9834,4194,2067,2204,699,601,20,1,6,5,4,0,2,5,9808,26,2391
서울,은평구갑,2415,녹번동,1138051000,25227,18650,8060,3837,4318,1101,1196,27,3,7,24,12,2,7,9,18603,47,6577
서울,은평구갑,2415,응암제1동,1138058000,19609,14463,6578,2726,3329,851,879,16,3,14,8,6,4,4,6,14424,39,5146
서울,은평구갑,2415,응암제2동,1138059000,13649,9907,4470,1884,2235,609,638,21,1,5,6,3,2,2,4,9880,27,3742
서울,은평구갑,2415,응암제3동,1138060000,21939,15765,6749,3200,3836,917,937,18,2,10,12,10,2,6,10,15709,56,6174
서울,은평구갑,2415,역촌동,1138062500,38391,28318,12632,5268,6547,1643,1975,40,5,19,56,15,11,15,10,28236,82,10073
서울,은평구갑,2415,신사제1동,1138063100,22490,17264,7728,3185,4035,1064,1125,22,2,10,17,9,2,1,9,17209,55,5226
서울,은평구갑,2415,신사제2동,1138063200,15973,11709,5019,2312,2748,758,767,27,1,3,12,6,3,3,13,11672,37,4264
서울,은평구갑,2415,증산동,1138064000,14651,11108,4651,2322,2596,704,756,10,0,4,7,9,1,6,4,11070,38,3543
서울,은평구갑,2415,수색동,1138065000,12304,9276,3665,2073,2346,558,553,20,2,6,7,1,2,7,3,9243,33,3028
