지역,선거구,코드,연도,선거인수,투표수,투표율,후보1_이름,후보1_득표수,후보1_득표율,후보2_이름,후보2_득표수,후보2_득표율,후보3_이름,후보3_득표수,후보3_득표율,후보4_이름,후보4_득표수,후보4_득표율,후보5_이름,후보5_득표수,후보5_득표율,후보6_이름,후보6_득표수,후보6_득표율,후보7_이름,후보7_득표수,후보7_득표율,계,무효투표수,기권수
서울,관악구을,2412,2008,"211,333","93,731",44%,통합민주당 김희철,"43,235",46.50,한나라당 김철수,"38,618",41.53,민주노동당 엄윤섭,"2,264",2.43,진보신당 신장식,"7,247",7.79,평화통일가정당 오영재,595,0.63,무소속 임충섭,"1,014",1.09,,,,"92,973",758,"117,602"
서울,구로구갑,2413,2008,"177,506","86,337",49%,통합민주당 이인영,"38,878",45.40,한나라당 이범래,"39,804",46.48,친박연대 유영철,"6,149",7.18,평화통일가정당 나인환,793,0.92,,,,,,,,,,"85,624",713,"91,169"
서울,서대문구갑,2414,2008,"135,281","65,356",48%,통합민주당 우상호,"28,185",43.49,한나라당 이성헌,"33,463",51.64,진보신당 정현정,"2,637",4.06,평화통일가정당 노학우,509,0.78,,,,,,,,,,"64,794",562,"69,925"
서울,은평구갑,2415,2008,"173,326","73,901",43%,통합민주당 이미경,"33,638",45.82,한나라당 안병용,"26,993",36.77,자유선진당 조일호,"2,721",3.70,민주노동당 강화연,"2,045",2.78,친박연대 강인섭,"6,877",9.36,평화통일가정당 이상재,573,0.78,무소속 오순덕,560,0.76,"73,407",494,"99,425"
경기,고양시덕양구을,2421,2008,"137,057","61,704",45%,통합민주당 최성,"26,622",43.51,한나라당 김태원,"30,003",49.03,민주노동당 이은영,"3,375",5.51,평화통일가정당 정미,"1,182",1.93,,,,,,,,,,"61,182",522,"75,353"
경기,부천시원미구을,2422,2008,"195,415","88,477",45%,통합민주당 배기선,"31,136",35.37,한나라당 이사철,"43,102",48.97,민주노동당 최순영,"7,927",9.00,친박연대 박성희,"5,305",6.02,평화통일가정당 유정하,539,0.61,,,,,,,"88,009",468,"106,938"
경기,수원시권선구,2423,2008,"228,869","91,870",40%,통합민주당 이기우,"34,842",38.16,한나라당 정미경,"37,649",41.23,자유선진당 손종학,"4,755",5.20,민주노동당 이성윤,"4,306",4.71,친박연대 이상진,"8,820",9.66,평화통일가정당 신연경,929,1.01,,,,"91,301",569,"136,999"
경기,평택시을,2424,2008,"164,456","72,618",44%,통합민주당 정장선,"34,619",48.14,한나라당 박상길,"30,238",42.05,민주노동당 이현주,"5,865",8.15,평화통일가정당 전주원,"1,183",1.64,,,,,,,,,,"71,905",713,"91,838"
경기,화성시을,2425,2008,"142,298","54,765",38%,통합민주당 이원욱,"19,748",36.39,한나라당 박보환,"27,941",51.49,민주노동당 이상무,"5,515",10.16,평화통일가정당 신광용,"1,060",1.95,,,,,,,,,,"54,264",501,"87,533"
서울,관악구을,2412,2012,"211,859","113,913",54%,새누리당 오신환,"37,559",33.28,통합진보당 이상규,"43,158",38.24,무소속 김희철,"32,127",28.47,,,,,,,,,,,,,"112,844","1,069","97,946"
서울,구로구갑,2413,2012,"189,156","112,349",59%,새누리당 이범래,"50,800",45.44,민주통합당 이인영,"58,381",52.22,진보신당 강상구,"2,611",2.33,,,,,,,,,,,,,"111,792",557,"76,807"
서울,서대문구갑,2414,2012,"130,670","75,119",57%,새누리당 이성헌,"33,982",45.63,민주통합당 우상호,"40,481",54.36,,,,,,,,,,,,,,,,"74,463",656,"55,551"
서울,은평구갑,2415,2012,"171,456","87,699",51%,새누리당 최홍재,"36,071",41.46,민주통합당 이미경,"42,672",49.05,진보신당 안효상,"3,704",4.25,무소속 이재식,"4,539",5.21,,,,,,,,,,"86,986",713,"83,757"
경기,고양시덕양구을,2421,2012,"144,268","79,161",55%,새누리당 김태원,"38,097",48.38,민주통합당 송두영,"37,871",48.09,국민생각 차인철,798,1.01,진보신당 김선아,"1,979",2.51,,,,,,,,,,"78,745",416,"65,107"
경기,부천시원미구을,2422,2012,"209,657","114,676",55%,새누리당 손숙미,"50,072",43.98,민주통합당 설훈,"63,758",56.01,,,,,,,,,,,,,,,,"113,830",846,"94,981"
경기,수원시을,2423,2012,"220,234","112,748",51%,새누리당 배은희,"37,230",33.23,민주통합당 신장용,"45,400",40.53,정통민주당 유근만,910,0.81,무소속 이종근,"1,845",1.64,무소속 정미경,"26,629",23.77,,,,,,,"112,014",734,"107,486"
경기,평택시을,2424,2012,"186,095","90,204",48%,새누리당 이재영,"40,036",44.94,민주통합당 오세호,"37,993",42.65,정통민주당 김연식,"2,074",2.32,무소속 이세종,"5,287",5.93,무소속 이인숙,"3,689",4.14,,,,,,,"89,079","1,125","95,891"
경기,화성시을,2425,2012,"194,463","103,095",53%,새누리당 리출선,"30,914",30.16,민주통합당 이원욱,"57,004",55.62,무소속 유효근,"4,655",4.54,무소속 우호태,"9,912",9.67,,,,,,,,,,"102,485",610,"91,368"
서울,강서구병,2411,2016,"157,029","92,972",59%,새누리당 유영,"29,648",32.27,더불어민주당 한정애,"39,992",43.54,국민의당 김성호,"18,920",20.59,정의당 김종민,"3,287",3.57,,,,,,,,,,"91,847","1,125","64,057"
서울,관악구을,2412,2016,"211,095","124,178",59%,새누리당 오신환,"45,454",37.05,더불어민주당 정태호,"44,593",36.35,국민의당 이행자,"28,801",23.47,민주당 송광호,"1,474",1.20,민중연합당 이상규,"2,354",1.91,,,,,,,"122,676","1,502","86,917"
서울,구로구갑,2413,2016,"197,751","124,273",63%,새누리당 김승제,"41,787",33.93,더불어민주당 이인영,"64,063",52.02,국민의당 김철근,"13,303",10.80,정의당 이호성,"2,894",2.35,민중연합당 이근미,"1,082",0.87,,,,,,,"123,129","1,144","73,478"
서울,서대문구갑,2414,2016,"127,642","79,431",62%,새누리당 이성헌,"31,529",40.27,더불어민주당 우상호,"42,972",54.88,민주당 이종화,"1,586",2.02,녹색당 김영준,"2,206",2.81,,,,,,,,,,"78,293","1,138","48,211"
서울,은평구갑,2415,2016,"209,352","116,808",56%,새누리당 최홍재,"42,991",40.88,더불어민주당 박주민,"57,767",54.93,노동당 최승현,"4,401",4.18,,,,,,,,,,,,,"105,159","11,649","92,544"
경기,고양시을,2421,2016,"159,645","96,561",60%,새누리당 김태원,"39,493",41.31,더불어민주당 정재호,"40,393",42.25,국민의당 이균철,"12,820",13.41,민중연합당 송영주,"2,883",3.01,,,,,,,,,,"95,589",972,"63,084"
경기,부천시원미구을,2422,2016,"219,314","134,751",61%,새누리당 이사철,"47,929",35.90,더불어민주당 설훈,"57,198",42.84,국민의당 이승호,"26,519",19.86,민중연합당 백현종,"1,841",1.37,,,,,,,,,,"133,487","1,264","84,563"
경기,수원시을,2423,2016,"186,350","109,288",59%,새누리당 김상민,"39,987",36.97,더불어민주당 백혜련,"50,982",47.14,국민의당 이대의,"15,019",13.88,민중연합당 박승하,"2,145",1.98,,,,,,,,,,"108,133","1,155","77,062"
경기,평택시을,2424,2016,"218,106","113,141",52%,새누리당 유의동,"45,365",40.54,더불어민주당 김선기,"37,495",33.51,국민의당 이계안,"26,420",23.61,민중연합당 김현래,"2,609",2.33,,,,,,,,,,"111,889","1,252","104,965"
경기,화성시을,2425,2016,"133,633","83,963",63%,새누리당 오병주,"21,786",26.13,더불어민주당 이원욱,"43,798",52.54,국민의당 김형남,"17,774",21.32,,,,,,,,,,,,,"83,358",605,"49,670"
서울,강서구병,2411,2020,"161,351","108,962",68%,더불어민주당 한정애,"64,515",59.92,미래통합당 김철근,"39,355",36.55,민중당 권혜인,"1,575",1.46,국가혁명배당금당 도재숙,559,0.51,무소속 김태윤,"1,659",1.54,,,,,,,"107,663","1,299","52,389"
서울,관악구을,2412,2020,"209,866","136,344",65%,더불어민주당 정태호,"72,531",53.90,미래통합당 오신환,"56,130",41.71,민생당 한인수,"2,143",1.59,우리공화당 박현성,589,0.43,민중당 김한영,"1,483",1.10,국가혁명배당금당 서희성,621,0.46,무소속 류현선,"1,066",0.79,"134,563","1,781","73,522"
서울,구로구갑,2413,2020,"205,756","142,081",69%,더불어민주당 이인영,"75,865",53.92,미래통합당 김재식,"55,347",39.34,정의당 이호성,"6,722",4.77,우리공화당 황인규,576,0.40,민중당 유선희,"1,539",1.09,국가혁명배당금당 김장원,628,0.44,,,,"140,677","1,404","63,675"
서울,서대문구갑,2414,2020,"131,930","91,096",69%,더불어민주당 우상호,"47,980",53.24,미래통합당 이성헌,"37,522",41.64,우리공화당 신민호,330,0.36,민중당 전진희,"1,026",1.13,국가혁명배당금당 고상일,331,0.36,무소속 신지예,"2,916",3.23,,,,"90,105",991,"40,834"
서울,은평구갑,2415,2020,"206,917","135,749",66%,더불어민주당 박주민,"86,351",64.29,미래통합당 홍인정,"45,589",33.94,민생당 한웅,"1,551",1.15,국가혁명배당금당 노병현,819,0.60,,,,,,,,,,"134,310","1,439","71,168"
경기,고양시을,2421,2020,"227,546","155,449",68%,더불어민주당 한준호,"80,739",52.47,미래통합당 함경우,"55,032",35.76,정의당 박원석,"11,649",7.57,민중당 송영주,"2,669",1.73,국가혁명배당금당 백남원,594,0.38,무소속 박종원,"3,183",2.06,,,,"153,866","1,583","72,097"
경기,부천시을,2422,2020,"220,045","148,949",68%,더불어민주당 설훈,"80,889",54.90,미래통합당 서영석,"58,341",39.60,정의당 이미숙,"6,162",4.18,민중당 이종남,"1,193",0.80,국가혁명배당금당 남궁진숙,734,0.49,,,,,,,"147,319","1,630","71,096"
경기,수원시을,2423,2020,"213,294","140,857",66%,더불어민주당 백혜련,"84,500",60.68,미래통합당 정미경,"53,334",38.30,국가혁명배당금당 황지윤,"1,406",1.00,,,,,,,,,,,,,"139,240","1,617","72,437"
경기,평택시을,2424,2020,"214,797","126,373",59%,더불어민주당 김현정,"57,540",46.11,미래통합당 유의동,"59,491",47.67,민중당 김양현,"1,862",1.49,국가혁명배당금당 장재혁,914,0.73,무소속 허승녕,"1,443",1.15,무소속 이인숙,"3,536",2.83,,,,"124,786","1,587","88,424"
경기,화성시을,2425,2020,"224,298","154,360",69%,더불어민주당 이원욱,"98,612",64.53,미래통합당 임명배,"52,802",34.55,국가혁명배당금당 이경우,"1,391",0.91,,,,,,,,,,,,,"152,805","1,555","69,938"
서울,강서구병,2411,2024,"158,668","106,810",67%,더불어민주당 한정애,"62,297",59.13,국민의힘 김일호,"43,046",40.86,,,,,,,,,,,,,,,,"105,343","1,467","51,858"
서울,관악구을,2412,2024,"204,556","129,706",63%,더불어민주당 정태호,"73,771",57.97,국민의힘 이성심,"49,418",38.83,진보당 이상규,"4,050",3.18,,,,,,,,,,,,,"127,239","2,467","74,850"
서울,구로구갑,2413,2024,"205,069","145,719",71%,더불어민주당 이인영,"80,182",55.74,국민의힘 호준석,"63,664",44.25,,,,,,,,,,,,,,,,"143,846","1,873","59,350"
서울,서대문구갑,2414,2024,"130,042","89,949",69%,더불어민주당 김동아,"44,890",50.75,국민의힘 이용호,"38,466",43.49,개혁신당 이경선,"5,087",5.75,,,,,,,,,,,,,"88,443","1,506","40,093"
서울,은평구갑,2415,2024,"219,044","149,155",68%,더불어민주당 박주민,"89,379",60.78,국민의힘 홍인정,"57,661",39.21,,,,,,,,,,,,,,,,"147,040","2,115","69,889"
경기,고양시을,2421,2024,"229,773","160,599",70%,더불어민주당 한준호,"97,402",61.24,국민의힘 장석환,"59,375",37.33,무소속 정일권,"2,253",1.41,,,,,,,,,,,,,"159,030","1,569","69,174"
경기,부천시을,2422,2024,"214,471","149,414",70%,더불어민주당 김기표,"82,475",55.90,국민의힘 박성중,"55,975",37.93,새로운미래 설훈,"9,087",6.15,,,,,,,,,,,,,"147,537","1,877","65,057"
경기,수원시을,2423,2024,"213,733","142,223",67%,더불어민주당 백혜련,"86,677",61.73,국민의힘 홍윤오,"53,720",38.26,,,,,,,,,,,,,,,,"140,397","1,826","71,510"
경기,평택시을,2424,2024,"159,378","93,414",59%,더불어민주당 이병진,"49,998",54.23,국민의힘 정우성,"42,197",45.76,,,,,,,,,,,,,,,,"92,195","1,219","65,964"
경기,화성시을,2425,2024,"169,135","122,944",73%,더불어민주당 공영운,"48,578",39.73,국민의힘 한정민,"21,826",17.85,개혁신당 이준석,"51,856",42.41,,,,,,,,,,,,,"122,260",684,"46,191"
